id,distance,activity_type,moving_time,elapsed_time,start_time,end_time,start_latitude,end_latitude,start_longitude,end_longitude
159827896,1731.7,Run,564,721,2014-06-17 07:38:31,2014-06-17 07:38:31,51.452851,51.452631,-2.609263,-2.60754
161222566,7703.4,Run,2705,2726,2014-06-20 18:47:04,2014-06-20 18:47:04,51.457011,51.456291,-2.614253,-2.613825
161629506,9180.0,Run,3052,3161,2014-06-21 18:07:16,2014-06-21 18:07:16,51.457224,51.456292,-2.613214,-2.613875
163152657,13038.8,Run,4538,4637,2014-06-25 07:03:07,2014-06-25 07:03:07,51.456227,51.467724,-2.613725,-2.620666
163932815,11363.4,Run,3868,4015,2014-06-27 07:01:33,2014-06-27 07:01:33,51.456282,51.467814,-2.613826,-2.620692
164635385,11283.0,Run,3782,3786,2014-06-29 07:11:06,2014-06-29 07:11:06,51.456069,51.456289,-2.613823,-2.613852
165321541,7077.9,Run,2208,2208,2014-06-30 18:55:05,2014-06-30 18:55:05,51.456227,51.456375,-2.613752,-2.613851
165670238,13453.9,Run,4325,4442,2014-07-01 15:55:41,2014-07-01 15:55:41,51.456263,51.467746,-2.614123,-2.620724
165962621,9669.6,Run,3257,3316,2014-07-02 08:02:57,2014-07-02 08:02:57,51.456316,51.456236,-2.61393,-2.613892
166497306,7642.5,Run,2439,2461,2014-07-03 15:11:16,2014-07-03 15:11:16,51.456307,51.467732,-2.613851,-2.620765
166781243,10534.9,Run,3689,4053,2014-07-04 07:30:12,2014-07-04 07:30:12,51.455638,51.455561,-2.61463,-2.614904
169386300,5300.8,Run,3991,4052,2014-07-10 16:12:41,2014-07-10 16:12:41,51.47311,51.456162,-2.649933,-2.619531
170043134,11791.2,Run,3652,4084,2014-07-12 08:34:21,2014-07-12 08:34:21,51.456273,51.456044,-2.613924,-2.614084
170470380,9042.5,Run,2939,2978,2014-07-13 07:30:12,2014-07-13 07:30:12,51.456184,51.456307,-2.613885,-2.613873
